Timesteps,Epsilon,BufferSize,TotalActions,IntervalActions,TotalActionEntropy,IntervalActionEntropy,TargetEntropy,QBackupMode,QClipValue,TargetUpdateInterval,EntropyPenaltyCoef,MeanQ,MeanTargetQ,MeanQGap,ActorEntropy,Alpha,LogAlpha,ActorLoss,Q1Loss,Q2Loss,AlphaLoss,EntropyPenalty,PolicyMeanProbs,BatchGreedyActions
50000,0.0,50000,"{""0"": 8411, ""1"": 8322, ""2"": 8332, ""3"": 8304, ""4"": 8387, ""5"": 8244}","{""0"": 8411, ""1"": 8322, ""2"": 8332, ""3"": 8304, ""4"": 8387, ""5"": 8244}",1.791738,1.791738,1.594666,min,,8000,0.0,2.723759412765503,2.8058550357818604,0.07288298010826111,1.7916879653930664,0.16518855094909668,-1.8006677627563477,-3.019822597503662,0.007419574540108442,0.01914195343852043,0.0325530581176281,0.0,"[0.16620920598506927, 0.1658673882484436, 0.1702115684747696, 0.16771255433559418, 0.16638526320457458, 0.16361404955387115]","{""2"": 64}"
100000,0.0,100000,"{""0"": 16657, ""1"": 16356, ""2"": 16717, ""3"": 16831, ""4"": 16845, ""5"": 16594}","{""0"": 8246, ""1"": 8034, ""2"": 8385, ""3"": 8527, ""4"": 8458, ""5"": 8350}",1.79171,1.791575,1.594666,min,,8000,0.0,2.706829071044922,2.6458282470703125,0.036127105355262756,1.791568398475647,0.010365700349211693,-4.569252967834473,-2.7254316806793213,0.016308583319187164,0.013765977695584297,0.0020414763130247593,0.0,"[0.16786478459835052, 0.1640399694442749, 0.16647054255008698, 0.16430829465389252, 0.16406074166297913, 0.17325568199157715]","{""5"": 64}"
150000,0.0,100000,"{""0"": 24487, ""1"": 23955, ""2"": 24947, ""3"": 25370, ""4"": 25376, ""5"": 25865}","{""0"": 7830, ""1"": 7599, ""2"": 8230, ""3"": 8539, ""4"": 8531, ""5"": 9271}",1.791441,1.789655,1.594666,min,,8000,0.0,2.4019720554351807,2.4372713565826416,0.03459089249372482,1.7823240756988525,0.0067379469983279705,-5.0,-2.4154341220855713,0.004918025806546211,0.0019961469806730747,0.0012644306989386678,0.0,"[0.14831095933914185, 0.13787131011486053, 0.15742340683937073, 0.17647835612297058, 0.17008455097675323, 0.20983141660690308]","{""5"": 64}"
200000,0.0,100000,"{""0"": 32612, ""1"": 30534, ""2"": 33721, ""3"": 34222, ""4"": 33521, ""5"": 35390}","{""0"": 8125, ""1"": 6579, ""2"": 8774, ""3"": 8852, ""4"": 8145, ""5"": 9525}",1.790732,1.785507,1.594666,min,,8000,0.0,1.8444230556488037,1.861789584159851,0.031065985560417175,9.210340863319288e-07,0.007001980673521757,-4.961562156677246,-1.8621057271957397,0.005492485128343105,0.005278835538774729,-0.011150873266160488,0.0,"[9.999998162868451e-09, 9.999998162868451e-09, 1.0, 9.999998162868451e-09, 9.999998162868451e-09, 9.999998162868451e-09]","{""2"": 64}"
250000,0.0,100000,"{""0"": 32612, ""1"": 30534, ""2"": 83721, ""3"": 34222, ""4"": 33521, ""5"": 35390}","{""2"": 50000}",1.707235,-0.0,1.594666,min,,8000,0.0,1.5279338359832764,1.5460097789764404,0.02766699157655239,9.210340863319288e-07,0.9896852970123291,-0.010368266142904758,-1.5227361917495728,0.0016874640714377165,0.0010741844307631254,-1.5777403116226196,0.0,"[9.999998162868451e-09, 9.999998162868451e-09, 1.0, 9.999998162868451e-09, 9.999998162868451e-09, 9.999998162868451e-09]","{""2"": 64}"
300000,0.0,100000,"{""0"": 32612, ""1"": 30534, ""2"": 133721, ""3"": 34222, ""4"": 33521, ""5"": 35390}","{""2"": 50000}",1.578623,-0.0,1.594666,min,,8000,0.0,1.1418404579162598,1.1486839056015015,0.012521246448159218,9.210340863319288e-07,7.389056205749512,2.0,-1.146962285041809,4.595397331286222e-05,4.075544711668044e-05,-11.783069610595703,0.0,"[9.999998162868451e-09, 9.999998162868451e-09, 1.0, 9.999998162868451e-09, 9.999998162868451e-09, 9.999998162868451e-09]","{""2"": 64}"
350000,0.0,100000,"{""0"": 32612, ""1"": 30534, ""2"": 183721, ""3"": 34222, ""4"": 33521, ""5"": 35390}","{""2"": 50000}",1.455942,-0.0,1.594666,min,,8000,0.0,0.9807013273239136,0.9870997071266174,0.04340483993291855,9.210340863319288e-07,7.389056205749512,2.0,-0.9858021140098572,0.00012160069309175014,8.75753175932914e-05,-11.783069610595703,0.0,"[9.999998162868451e-09, 9.999998162868451e-09, 1.0, 9.999998162868451e-09, 9.999998162868451e-09, 9.999998162868451e-09]","{""2"": 64}"
400000,0.0,100000,"{""0"": 32612, ""1"": 30534, ""2"": 233721, ""3"": 34222, ""4"": 33521, ""5"": 35390}","{""2"": 50000}",1.347397,-0.0,1.594666,min,,8000,0.0,0.8505753874778748,0.8104371428489685,0.05089093744754791,9.210340863319288e-07,7.389056205749512,2.0,-0.8093416690826416,1.71489518834278e-05,1.1095062291133218e-05,-11.783069610595703,0.0,"[9.999998162868451e-09, 9.999998162868451e-09, 1.0, 9.999998162868451e-09, 9.999998162868451e-09, 9.999998162868451e-09]","{""2"": 64}"
450000,0.0,100000,"{""0"": 32612, ""1"": 30534, ""2"": 283721, ""3"": 34222, ""4"": 33521, ""5"": 35390}","{""2"": 50000}",1.252945,-0.0,1.594666,min,,8000,0.0,0.45754748582839966,0.3457205295562744,0.052550058811903,9.210340863319288e-07,7.389056205749512,2.0,-0.3430350422859192,2.9642547815456055e-05,2.079472687910311e-05,-11.783069610595703,0.0,"[9.999998162868451e-09, 9.999998162868451e-09, 1.0, 9.999998162868451e-09, 9.999998162868451e-09, 9.999998162868451e-09]","{""2"": 64}"
500000,0.0,100000,"{""0"": 32612, ""1"": 30534, ""2"": 333721, ""3"": 34222, ""4"": 33521, ""5"": 35390}","{""2"": 50000}",1.170801,-0.0,1.594666,min,,8000,0.0,0.3483662009239197,0.21654608845710754,0.06620609015226364,9.210340863319288e-07,7.389056205749512,2.0,-0.2137686163187027,2.6639976567821577e-05,1.3679742551175877e-05,-11.783069610595703,0.0,"[9.999998162868451e-09, 9.999998162868451e-09, 1.0, 9.999998162868451e-09, 9.999998162868451e-09, 9.999998162868451e-09]","{""2"": 64}"
550000,0.0,100000,"{""0"": 32612, ""1"": 30534, ""2"": 383721, ""3"": 34222, ""4"": 33521, ""5"": 35390}","{""2"": 50000}",1.099027,-0.0,1.594666,min,,8000,0.0,0.10448585450649261,-0.03475714474916458,0.06239745020866394,9.210340863319288e-07,7.389056205749512,2.0,0.03573157638311386,8.195182090275921e-06,7.02781608197256e-06,-11.783069610595703,0.0,"[9.999998162868451e-09, 9.999998162868451e-09, 1.0, 9.999998162868451e-09, 9.999998162868451e-09, 9.999998162868451e-09]","{""2"": 64}"
