Timesteps,Epsilon,BufferSize,TotalActions,IntervalActions,TotalActionEntropy,IntervalActionEntropy,TargetEntropy,QBackupMode,QClipValue,TargetUpdateInterval,EntropyPenaltyCoef,MeanQ,MeanTargetQ,MeanQGap,ActorEntropy,Alpha,LogAlpha,ActorLoss,Q1Loss,Q2Loss,AlphaLoss,EntropyPenalty,PolicyMeanProbs,BatchGreedyActions
50000,0.0,50000,"{""0"": 8464, ""1"": 8295, ""2"": 8327, ""3"": 8297, ""4"": 8317, ""5"": 8300}","{""0"": 8464, ""1"": 8295, ""2"": 8327, ""3"": 8297, ""4"": 8317, ""5"": 8300}",1.791734,1.791734,1.594666,min,,8000,0.0,2.9593119621276855,2.946354389190674,0.03367576748132706,1.790737271308899,0.16525064408779144,-1.800291895866394,-3.255657911300659,0.11515243351459503,0.12583018839359283,0.03240814059972763,0.0,"[0.17064402997493744, 0.16604042053222656, 0.16286508738994598, 0.17789939045906067, 0.1577911674976349, 0.16475990414619446]","{""0"": 7, ""3"": 56, ""5"": 1}"
100000,0.0,100000,"{""0"": 17110, ""1"": 16530, ""2"": 16467, ""3"": 16359, ""4"": 16706, ""5"": 16828}","{""0"": 8646, ""1"": 8235, ""2"": 8140, ""3"": 8062, ""4"": 8389, ""5"": 8528}",1.791647,1.791449,1.594666,min,,8000,0.0,2.781906843185425,2.9070966243743896,0.045743729919195175,1.6335017681121826,0.011587713845074177,-4.457809925079346,-2.801492929458618,0.041310444474220276,0.0397464893758297,0.0004500525537878275,0.0,"[0.15408146381378174, 0.17952284216880798, 0.11176544427871704, 0.11848586797714233, 0.26095861196517944, 0.17518576979637146]","{""0"": 1, ""1"": 9, ""3"": 5, ""4"": 41, ""5"": 8}"
150000,0.0,100000,"{""0"": 23584, ""1"": 27047, ""2"": 21573, ""3"": 23238, ""4"": 26351, ""5"": 28207}","{""0"": 6474, ""1"": 10517, ""2"": 5106, ""3"": 6879, ""4"": 9645, ""5"": 11379}",1.787321,1.752817,1.594666,min,,8000,0.0,2.7646331787109375,2.7770018577575684,0.06852290034294128,1.5541484355926514,0.012827727012336254,-4.356146335601807,-2.7907779216766357,0.028788592666387558,0.021798621863126755,-0.0005197085556574166,0.0,"[0.10221713781356812, 0.2410801649093628, 0.09011919051408768, 0.11905913054943085, 0.1699184626340866, 0.27760592103004456]","{""1"": 19, ""3"": 2, ""4"": 20, ""5"": 23}"
200000,0.0,100000,"{""0"": 30524, ""1"": 36595, ""2"": 28075, ""3"": 30843, ""4"": 35105, ""5"": 38858}","{""0"": 6940, ""1"": 9548, ""2"": 6502, ""3"": 7605, ""4"": 8754, ""5"": 10651}",1.785304,1.776456,1.594666,min,,8000,0.0,2.3876569271087646,2.445578098297119,0.06407153606414795,1.5397324562072754,0.020520104095339775,-3.886350154876709,-2.4321064949035645,0.012764573097229004,0.013391692191362381,-0.0011267871595919132,0.0,"[0.12021198868751526, 0.19536569714546204, 0.13756005465984344, 0.16191786527633667, 0.14156462252140045, 0.24337977170944214]","{""0"": 2, ""1"": 16, ""2"": 12, ""3"": 8, ""4"": 4, ""5"": 22}"
250000,0.0,100000,"{""0"": 38762, ""1"": 46331, ""2"": 34474, ""3"": 38991, ""4"": 42857, ""5"": 48585}","{""0"": 8238, ""1"": 9736, ""2"": 6399, ""3"": 8148, ""4"": 7752, ""5"": 9727}",1.785099,1.781958,1.594666,min,,8000,0.0,2.508540153503418,2.5357589721679688,0.05810573697090149,1.639499545097351,0.024510154500603676,-3.708667755126953,-2.558011531829834,0.012899782508611679,0.010927502065896988,0.001099001499824226,0.0,"[0.20544371008872986, 0.15942835807800293, 0.14717265963554382, 0.17263588309288025, 0.14134997129440308, 0.17396944761276245]","{""0"": 13, ""1"": 7, ""2"": 14, ""3"": 13, ""4"": 5, ""5"": 12}"
300000,0.0,100000,"{""0"": 46673, ""1"": 55490, ""2"": 41166, ""3"": 47702, ""4"": 50712, ""5"": 58257}","{""0"": 7911, ""1"": 9159, ""2"": 6692, ""3"": 8711, ""4"": 7855, ""5"": 9672}",1.78529,1.784788,1.594666,min,,8000,0.0,2.6751296520233154,2.727902889251709,0.07186716794967651,1.6019619703292847,0.02637016773223877,-3.63552188873291,-2.7305068969726562,0.008766910061240196,0.013670865446329117,0.00019241776317358017,0.0,"[0.17364603281021118, 0.13393065333366394, 0.1413910984992981, 0.1690439134836197, 0.19394123554229736, 0.18804709613323212]","{""0"": 10, ""1"": 3, ""2"": 6, ""3"": 7, ""4"": 21, ""5"": 17}"
350000,0.0,100000,"{""0"": 54242, ""1"": 64444, ""2"": 48100, ""3"": 56539, ""4"": 58595, ""5"": 68080}","{""0"": 7569, ""1"": 8954, ""2"": 6934, ""3"": 8837, ""4"": 7883, ""5"": 9823}",1.785438,1.785028,1.594666,min,,8000,0.0,2.6419248580932617,2.694016933441162,0.05361860990524292,1.6305947303771973,0.025908229872584343,-3.6531946659088135,-2.692636251449585,0.007571022026240826,0.0070326016284525394,0.000930957670789212,0.0,"[0.14295798540115356, 0.21852892637252808, 0.14416566491127014, 0.1774139553308487, 0.1381569504737854, 0.1787765473127365]","{""0"": 3, ""1"": 24, ""2"": 6, ""3"": 16, ""4"": 6, ""5"": 9}"
400000,0.0,100000,"{""0"": 62048, ""1"": 74273, ""2"": 54748, ""3"": 65875, ""4"": 65777, ""5"": 77279}","{""0"": 7806, ""1"": 9829, ""2"": 6648, ""3"": 9336, ""4"": 7182, ""5"": 9199}",1.785432,1.781517,1.594666,min,,8000,0.0,2.658938407897949,2.673780918121338,0.05245181918144226,1.5981934070587158,0.026860805228352547,-3.6170871257781982,-2.720740795135498,0.007732284255325794,0.009398622438311577,9.475694969296455e-05,0.0,"[0.1706123948097229, 0.14781038463115692, 0.15833944082260132, 0.1939792037010193, 0.148034006357193, 0.18122458457946777]","{""0"": 9, ""1"": 7, ""2"": 9, ""3"": 22, ""4"": 6, ""5"": 11}"
450000,0.0,100000,"{""0"": 70443, ""1"": 84597, ""2"": 61316, ""3"": 74498, ""4"": 72877, ""5"": 86269}","{""0"": 8395, ""1"": 10324, ""2"": 6568, ""3"": 8623, ""4"": 7100, ""5"": 8990}",1.785311,1.780776,1.594666,min,,8000,0.0,2.4955456256866455,2.5304293632507324,0.06990521401166916,1.6023082733154297,0.029795946553349495,-3.513382911682129,-2.5553555488586426,0.012217579409480095,0.01427295058965683,0.00022769765928387642,0.0,"[0.17367231845855713, 0.2290595918893814, 0.12705682218074799, 0.18172425031661987, 0.12642455101013184, 0.16206249594688416]","{""0"": 8, ""1"": 16, ""2"": 8, ""3"": 17, ""4"": 5, ""5"": 10}"
500000,0.0,100000,"{""0"": 79228, ""1"": 94550, ""2"": 67867, ""3"": 83363, ""4"": 79761, ""5"": 95231}","{""0"": 8785, ""1"": 9953, ""2"": 6551, ""3"": 8865, ""4"": 6884, ""5"": 8962}",1.785262,1.780964,1.594666,min,,8000,0.0,2.807518720626831,2.847076416015625,0.06647475808858871,1.639416217803955,0.03232503682374954,-3.431913137435913,-2.8705382347106934,0.0062734405510127544,0.006236019544303417,0.0014466162538155913,0.0,"[0.15839850902557373, 0.1636163890361786, 0.14516623318195343, 0.2041320502758026, 0.16271468997001648, 0.16597217321395874]","{""0"": 3, ""1"": 5, ""2"": 10, ""3"": 24, ""4"": 10, ""5"": 12}"
