Algorithm,Environment,EnvID,Seed,Timesteps,EvalEpisodes,Final_Reward_Mean,Final_Reward_Std,Final_Reward_Min,Final_Reward_Max,Training_Seconds,Reward_Per_Hour,InputShape,InputDType,InputRange,InputLayout,InputContiguous,CheckpointDir,FinalModelPath,Status,FailureReason,Profile,ConfigHash
DQN,Pong,ALE/Pong-v5,0,64,1,-21.0,0.0,-21.0,-21.0,0.8432016000151634,-89658.27389160608,"(4, 84, 84)",uint8,"[52.0, 236.0]",CHW,True,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\dqn\pong\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\dqn\pong\seed_0\final_model.zip,completed,,smoke,4b563dcaa4cad9cd
DQN,Breakout,ALE/Breakout-v5,0,64,1,0.0,0.0,0.0,0.0,0.15755399991758168,0.0,"(4, 84, 84)",uint8,"[0.0, 148.0]",CHW,True,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\dqn\breakout\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\dqn\breakout\seed_0\final_model.zip,completed,,smoke,4b563dcaa4cad9cd
DQN,Space Invaders,ALE/SpaceInvaders-v5,0,64,1,0.0,0.0,0.0,0.0,0.12641149992123246,0.0,"(4, 84, 84)",uint8,"[0.0, 133.0]",CHW,True,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\dqn\space_invaders\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\dqn\space_invaders\seed_0\final_model.zip,completed,,smoke,4b563dcaa4cad9cd
PPO,Pong,ALE/Pong-v5,0,64,1,-21.0,0.0,-21.0,-21.0,0.7129188999533653,-106042.91737102956,"(4, 84, 84)",uint8,"[52.0, 236.0]",CHW,True,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\ppo\pong\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\ppo\pong\seed_0\final_model.zip,completed,,smoke,4b563dcaa4cad9cd
PPO,Breakout,ALE/Breakout-v5,0,64,1,0.0,0.0,0.0,0.0,0.4890442000469193,0.0,"(4, 84, 84)",uint8,"[0.0, 148.0]",CHW,True,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\ppo\breakout\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\ppo\breakout\seed_0\final_model.zip,completed,,smoke,4b563dcaa4cad9cd
PPO,Space Invaders,ALE/SpaceInvaders-v5,0,64,1,270.0,0.0,270.0,270.0,0.45341149996966124,2143748.0082993894,"(4, 84, 84)",uint8,"[0.0, 133.0]",CHW,True,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\ppo\space_invaders\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\ppo\space_invaders\seed_0\final_model.zip,completed,,smoke,4b563dcaa4cad9cd
DiscreteSAC,Pong,ALE/Pong-v5,0,64,1,-21.0,0.0,-21.0,-21.0,0.7644770999904722,-98891.12440508972,"(4, 84, 84)",uint8,"[52.0, 236.0]",CHW,True,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\discretesac\pong\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\discretesac\pong\seed_0\final_model.pt,completed,,smoke,4b563dcaa4cad9cd
DiscreteSAC,Breakout,ALE/Breakout-v5,0,64,1,0.0,0.0,0.0,0.0,0.6442663000198081,0.0,"(4, 84, 84)",uint8,"[0.0, 148.0]",CHW,True,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\discretesac\breakout\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\discretesac\breakout\seed_0\final_model.pt,completed,,smoke,4b563dcaa4cad9cd
DiscreteSAC,Space Invaders,ALE/SpaceInvaders-v5,0,64,1,0.0,0.0,0.0,0.0,0.8678548999596387,0.0,"(4, 84, 84)",uint8,"[0.0, 133.0]",CHW,True,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\discretesac\space_invaders\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260622_164349\discretesac\space_invaders\seed_0\final_model.pt,completed,,smoke,4b563dcaa4cad9cd
