Algorithm,Environment,EnvID,Seed,Timesteps,EvalEpisodes,Final_Reward_Mean,Final_Reward_Std,Final_Reward_Min,Final_Reward_Max,Training_Seconds,Reward_Per_Hour,InputShape,InputDType,InputRange,InputLayout,InputContiguous,Status,FailureReason,ConfigHash
DQN,Pong,ALE/Pong-v5,0,64,1,-21.0,0.0,-21.0,-21.0,1.7636818999890238,-42864.872628375044,"(4, 84, 84)",uint8,"[52.0, 236.0]",CHW,True,completed,,f814c74a7e4ef2bc
DQN,Breakout,ALE/Breakout-v5,0,64,1,0.0,0.0,0.0,0.0,0.13186109997332096,0.0,"(4, 84, 84)",uint8,"[0.0, 148.0]",CHW,True,completed,,f814c74a7e4ef2bc
DQN,Space Invaders,ALE/SpaceInvaders-v5,0,64,1,0.0,0.0,0.0,0.0,0.14535230002366006,0.0,"(4, 84, 84)",uint8,"[0.0, 133.0]",CHW,True,completed,,f814c74a7e4ef2bc
PPO,Pong,ALE/Pong-v5,0,64,1,-21.0,0.0,-21.0,-21.0,0.6575858999276534,-114965.96871726932,"(4, 84, 84)",uint8,"[52.0, 236.0]",CHW,True,completed,,f814c74a7e4ef2bc
PPO,Breakout,ALE/Breakout-v5,0,64,1,0.0,0.0,0.0,0.0,0.43192360003013164,0.0,"(4, 84, 84)",uint8,"[0.0, 148.0]",CHW,True,completed,,f814c74a7e4ef2bc
PPO,Space Invaders,ALE/SpaceInvaders-v5,0,64,1,270.0,0.0,270.0,270.0,0.43117370002437383,2254311.8932000115,"(4, 84, 84)",uint8,"[0.0, 133.0]",CHW,True,completed,,f814c74a7e4ef2bc
DiscreteSAC,Pong,ALE/Pong-v5,0,64,1,-21.0,0.0,-21.0,-21.0,0.8186127000954002,-92351.36468221134,"(4, 84, 84)",uint8,"[52.0, 236.0]",CHW,True,completed,,f814c74a7e4ef2bc
DiscreteSAC,Breakout,ALE/Breakout-v5,0,64,1,0.0,0.0,0.0,0.0,0.566657799994573,0.0,"(4, 84, 84)",uint8,"[0.0, 148.0]",CHW,True,completed,,f814c74a7e4ef2bc
DiscreteSAC,Space Invaders,ALE/SpaceInvaders-v5,0,64,1,0.0,0.0,0.0,0.0,0.7978611000580713,0.0,"(4, 84, 84)",uint8,"[0.0, 133.0]",CHW,True,completed,,f814c74a7e4ef2bc
