Algorithm,Environment,EnvID,Seed,Timesteps,EvalEpisodes,Final_Reward_Mean,Final_Reward_Std,Final_Reward_Min,Final_Reward_Max,Training_Seconds,Reward_Per_Hour,InputShape,InputDType,InputRange,InputLayout,InputContiguous,NumEnvs,CheckpointDir,FinalModelPath,Status,FailureReason,Profile,ConfigHash
DQN,Pong,ALE/Pong-v5,0,64,1,-21.0,0.0,-21.0,-21.0,0.8713637000182644,-86760.55704227221,"(4, 84, 84)",uint8,"[52.0, 236.0]",CHW,True,1,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\dqn\pong\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\dqn\pong\seed_0\final_model.zip,completed,,smoke,0140ab5629acaeb4
DQN,Breakout,ALE/Breakout-v5,0,64,1,0.0,0.0,0.0,0.0,0.166578600066714,0.0,"(4, 84, 84)",uint8,"[0.0, 148.0]",CHW,True,1,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\dqn\breakout\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\dqn\breakout\seed_0\final_model.zip,completed,,smoke,0140ab5629acaeb4
DQN,Space Invaders,ALE/SpaceInvaders-v5,0,64,1,0.0,0.0,0.0,0.0,0.14907970000058413,0.0,"(4, 84, 84)",uint8,"[0.0, 133.0]",CHW,True,1,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\dqn\space_invaders\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\dqn\space_invaders\seed_0\final_model.zip,completed,,smoke,0140ab5629acaeb4
PPO,Pong,ALE/Pong-v5,0,64,1,-21.0,0.0,-21.0,-21.0,1.9531959999585524,-38705.79296783542,"(4, 84, 84)",uint8,"[52.0, 236.0]",CHW,True,8,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\ppo\pong\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\ppo\pong\seed_0\final_model.zip,completed,,smoke,0140ab5629acaeb4
PPO,Breakout,ALE/Breakout-v5,0,64,1,0.0,0.0,0.0,0.0,1.4534214000450447,0.0,"(4, 84, 84)",uint8,"[0.0, 148.0]",CHW,True,8,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\ppo\breakout\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\ppo\breakout\seed_0\final_model.zip,completed,,smoke,0140ab5629acaeb4
PPO,Space Invaders,ALE/SpaceInvaders-v5,0,64,1,0.0,0.0,0.0,0.0,1.6224629000062123,0.0,"(4, 84, 84)",uint8,"[0.0, 133.0]",CHW,True,8,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\ppo\space_invaders\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\ppo\space_invaders\seed_0\final_model.zip,completed,,smoke,0140ab5629acaeb4
DiscreteSAC,Pong,ALE/Pong-v5,0,64,1,-21.0,0.0,-21.0,-21.0,0.19953859993256629,-378874.06259013986,"(4, 84, 84)",uint8,"[52.0, 236.0]",CHW,True,1,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\discretesac\pong\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\discretesac\pong\seed_0\final_model.pt,completed,,smoke,0140ab5629acaeb4
DiscreteSAC,Breakout,ALE/Breakout-v5,0,64,1,0.0,0.0,0.0,0.0,0.20553610008209944,0.0,"(4, 84, 84)",uint8,"[0.0, 148.0]",CHW,True,1,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\discretesac\breakout\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\discretesac\breakout\seed_0\final_model.pt,completed,,smoke,0140ab5629acaeb4
DiscreteSAC,Space Invaders,ALE/SpaceInvaders-v5,0,64,1,0.0,0.0,0.0,0.0,0.22628770000301301,0.0,"(4, 84, 84)",uint8,"[0.0, 133.0]",CHW,True,1,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\discretesac\space_invaders\seed_0,D:\DM\RL\atari_mode\checkpoints\smoke\20260623_102849\discretesac\space_invaders\seed_0\final_model.pt,completed,,smoke,0140ab5629acaeb4
