Algorithm,Environment,EnvID,Seed,Timesteps,EvalEpisodes,Final_Reward_Mean,Final_Reward_Std,Final_Reward_Min,Final_Reward_Max,Training_Seconds,Reward_Per_Hour,InputShape,InputDType,InputRange,InputLayout,InputContiguous,Status,FailureReason,ConfigHash
DQN,Pong,ALE/Pong-v5,0,64,1,-21.0,0.0,-21.0,-21.0,1.425895299995318,-53019.32056319159,"(4, 84, 84)",uint8,"[52.0, 236.0]",CHW,True,completed,,f814c74a7e4ef2bc
DQN,Breakout,ALE/Breakout-v5,0,64,1,0.0,0.0,0.0,0.0,0.1397793999640271,0.0,"(4, 84, 84)",uint8,"[0.0, 148.0]",CHW,True,completed,,f814c74a7e4ef2bc
DQN,Space Invaders,ALE/SpaceInvaders-v5,0,64,1,0.0,0.0,0.0,0.0,0.14475949993357062,0.0,"(4, 84, 84)",uint8,"[0.0, 133.0]",CHW,True,completed,,f814c74a7e4ef2bc
PPO,Pong,ALE/Pong-v5,0,64,1,-21.0,0.0,-21.0,-21.0,0.4188524999190122,-180493.1330590548,"(4, 84, 84)",uint8,"[52.0, 236.0]",CHW,True,completed,,f814c74a7e4ef2bc
PPO,Breakout,ALE/Breakout-v5,0,64,1,0.0,0.0,0.0,0.0,0.40680060000158846,0.0,"(4, 84, 84)",uint8,"[0.0, 148.0]",CHW,True,completed,,f814c74a7e4ef2bc
PPO,Space Invaders,ALE/SpaceInvaders-v5,0,64,1,0.0,0.0,0.0,0.0,0.4413380000041798,0.0,"(4, 84, 84)",uint8,"[0.0, 133.0]",CHW,True,completed,,f814c74a7e4ef2bc
DiscreteSAC,Pong,ALE/Pong-v5,0,64,1,-21.0,0.0,-21.0,-21.0,1.3461041999980807,-56162.07125726804,"(4, 84, 84)",uint8,"[52.0, 236.0]",CHW,True,completed,,f814c74a7e4ef2bc
DiscreteSAC,Breakout,ALE/Breakout-v5,0,64,1,0.0,0.0,0.0,0.0,1.3132084000390023,0.0,"(4, 84, 84)",uint8,"[0.0, 148.0]",CHW,True,completed,,f814c74a7e4ef2bc
DiscreteSAC,Space Invaders,ALE/SpaceInvaders-v5,0,64,1,0.0,0.0,0.0,0.0,1.2861122000031173,0.0,"(4, 84, 84)",uint8,"[0.0, 133.0]",CHW,True,completed,,f814c74a7e4ef2bc
