Timesteps,RolloutActions,RolloutActionEntropy,RolloutDominantAction,RolloutDominantActionFraction,train_approx_kl,train_clip_fraction,train_clip_range,train_entropy_loss,train_explained_variance,train_learning_rate,train_loss,train_policy_gradient_loss,train_value_loss,rollout_ep_len_mean,rollout_ep_rew_mean
1024,"{""0"": 172, ""1"": 173, ""2"": 171, ""3"": 172, ""4"": 176, ""5"": 160}",1.79132,4,0.171875,,,,,,,,,,,
2048,"{""0"": 143, ""1"": 182, ""2"": 154, ""3"": 187, ""4"": 184, ""5"": 174}",1.786992,3,0.182617,0.0010594101622700691,0.0,0.0998976,-1.7910836711525917,0.006846427917480469,0.000249744,0.021755656227469444,-0.0009606571693439037,0.21172242471948266,,
3072,"{""0"": 167, ""1"": 188, ""2"": 161, ""3"": 178, ""4"": 158, ""5"": 172}",1.789989,1,0.183594,0.00016292993677780032,0.0,0.0997952,-1.7899952456355095,0.00834202766418457,0.00024948799999999997,0.025248190388083458,-2.2510939743369818e-06,0.11572819808498025,,
4096,"{""0"": 168, ""1"": 193, ""2"": 147, ""3"": 185, ""4"": 170, ""5"": 161}",1.787842,1,0.188477,0.00028311723144724965,0.0,0.09969280000000001,-1.7892374470829964,0.0059125423431396484,0.000249232,0.05066017806529999,-0.00019845034694299102,0.13940660655498505,,
5120,"{""0"": 142, ""1"": 182, ""2"": 147, ""3"": 196, ""4"": 167, ""5"": 190}",1.784401,3,0.191406,0.0008588741184212267,0.0,0.09959040000000001,-1.7857281863689423,0.005244016647338867,0.000248976,0.030063800513744354,-0.0003752727643586695,0.11283026076853275,,
6144,"{""0"": 130, ""1"": 174, ""2"": 140, ""3"": 224, ""4"": 170, ""5"": 186}",1.775643,3,0.21875,0.0012954315170645714,0.0,0.09948800000000001,-1.7826402857899666,0.007110655307769775,0.00024872,0.03397645056247711,-0.0006982295890338719,0.1027874150313437,,
7168,"{""0"": 154, ""1"": 174, ""2"": 126, ""3"": 251, ""4"": 154, ""5"": 165}",1.767606,3,0.245117,0.0028774940874427557,0.079833984375,0.0993856,-1.773246854543686,0.021232008934020996,0.000248464,0.028350872918963432,-0.002389986824709922,0.10560998553410172,,
8192,"{""0"": 164, ""1"": 175, ""2"": 139, ""3"": 218, ""4"": 167, ""5"": 161}",1.782313,3,0.212891,0.0021799877285957336,0.0458984375,0.09928320000000002,-1.7778422683477402,0.008430242538452148,0.00024820800000000003,0.03341832756996155,-0.0016498362820129842,0.114776651840657,,
9216,"{""0"": 164, ""1"": 140, ""2"": 146, ""3"": 239, ""4"": 203, ""5"": 132}",1.767605,3,0.233398,0.0016797055723145604,0.00830078125,0.09918080000000001,-1.776108592748642,0.022159337997436523,0.000247952,0.03793882951140404,-0.001041787094436586,0.09895731648430228,,
10240,"{""0"": 176, ""1"": 138, ""2"": 164, ""3"": 208, ""4"": 198, ""5"": 140}",1.779656,3,0.203125,0.0012997817248106003,0.054443359375,0.09907840000000001,-1.7761196494102478,0.02422851324081421,0.000247696,0.04294651746749878,-0.000492338789626956,0.10779725154861808,,
11264,"{""0"": 148, ""1"": 175, ""2"": 168, ""3"": 213, ""4"": 163, ""5"": 157}",1.784677,3,0.208008,0.0020698008593171835,0.033935546875,0.09897600000000001,-1.780753992497921,0.019632399082183838,0.00024744,0.02209235355257988,-0.0020199224236421287,0.0893379170447588,,
12288,"{""0"": 154, ""1"": 148, ""2"": 158, ""3"": 248, ""4"": 160, ""5"": 156}",1.772972,3,0.242188,0.0013713057851418853,0.012939453125,0.0988736,-1.7804160192608833,0.04225277900695801,0.000247184,0.040964849293231964,-0.000534162565600127,0.11587314587086439,,
13312,"{""0"": 160, ""1"": 172, ""2"": 160, ""3"": 229, ""4"": 145, ""5"": 158}",1.779847,3,0.223633,0.0013229565229266882,0.0,0.0987712,-1.7760968282818794,0.03560000658035278,0.000246928,0.056558553129434586,-0.0010314137616660446,0.12453413940966129,,
14336,"{""0"": 170, ""1"": 138, ""2"": 173, ""3"": 249, ""4"": 140, ""5"": 154}",1.769428,3,0.243164,0.0005076329689472914,0.0,0.0986688,-1.7793318405747414,0.06987893581390381,0.000246672,0.03169816732406616,-0.0005292602581903338,0.10473557701334357,,
15360,"{""0"": 152, ""1"": 164, ""2"": 171, ""3"": 222, ""4"": 145, ""5"": 170}",1.781727,3,0.216797,0.0013757239794358611,0.023193359375,0.0985664,-1.7810395434498787,0.09651041030883789,0.000246416,0.032184816896915436,-0.0010380333987995982,0.10165020916610956,,
16384,"{""0"": 149, ""1"": 189, ""2"": 160, ""3"": 248, ""4"": 130, ""5"": 148}",1.767406,3,0.242188,0.000720130221452564,0.0,0.098464,-1.783384807407856,0.12581604719161987,0.00024616,0.028399866074323654,-0.0004299810098018497,0.1301303766667843,,
17408,"{""0"": 148, ""1"": 161, ""2"": 151, ""3"": 216, ""4"": 154, ""5"": 194}",1.781064,3,0.210938,0.0005412896862253547,0.0,0.09836160000000001,-1.7780976966023445,0.07182997465133667,0.000245904,0.040927380323410034,-0.0004606274887919426,0.12574382033199072,,
18432,"{""0"": 175, ""1"": 173, ""2"": 138, ""3"": 219, ""4"": 144, ""5"": 175}",1.78009,3,0.213867,0.0016155140474438667,0.0185546875,0.0982592,-1.778555765748024,0.10497826337814331,0.000245648,0.028682399541139603,-0.0017846746777649969,0.11697985185310245,,
19456,"{""0"": 169, ""1"": 185, ""2"": 147, ""3"": 199, ""4"": 113, ""5"": 211}",1.772178,5,0.206055,0.0019483765354380012,0.0673828125,0.0981568,-1.7780188992619514,0.13232386112213135,0.000245392,0.023440536111593246,-0.0019409889937378466,0.10446638567373157,,
20480,"{""0"": 148, ""1"": 136, ""2"": 142, ""3"": 223, ""4"": 163, ""5"": 212}",1.772182,3,0.217773,0.0006425934261642396,0.0,0.0980544,-1.7788938730955124,0.2778617739677429,0.000245136,0.018548738211393356,-0.00028049940010532737,0.07901299186050892,,
21504,"{""0"": 165, ""1"": 160, ""2"": 155, ""3"": 205, ""4"": 140, ""5"": 199}",1.782395,3,0.200195,0.00097824283875525,0.0,0.097952,-1.783038780093193,0.16579002141952515,0.00024488,0.03824765980243683,-0.00044717075070366263,0.1381912031210959,,
22528,"{""0"": 154, ""1"": 145, ""2"": 152, ""3"": 197, ""4"": 146, ""5"": 230}",1.775121,5,0.224609,0.0012499222066253424,0.010009765625,0.09784960000000001,-1.7831699848175049,0.17943191528320312,0.00024462400000000003,0.016290491446852684,-0.000895534991286695,0.09824723703786731,,
23552,"{""0"": 164, ""1"": 162, ""2"": 138, ""3"": 178, ""4"": 146, ""5"": 236}",1.775263,5,0.230469,0.0026050866581499577,0.05517578125,0.0977472,-1.7700894922018051,0.270693838596344,0.000244368,0.03549744561314583,-0.0011394026514608413,0.10391055047512054,,
