Timesteps,RolloutActions,RolloutActionEntropy,RolloutDominantAction,RolloutDominantActionFraction,train_approx_kl,train_clip_fraction,train_clip_range,train_entropy_loss,train_explained_variance,train_learning_rate,train_loss,train_policy_gradient_loss,train_value_loss,rollout_ep_len_mean,rollout_ep_rew_mean
132096,"{""0"": 169, ""1"": 210, ""2"": 268, ""3"": 377}",1.340958,3,0.368164,0.003429303877055645,0.128173828125,0.0868928,-1.057957760989666,0.9341317415237427,0.000217232,-0.017575789242982864,-0.007730641926173121,0.02501966804265976,,
133120,"{""0"": 180, ""1"": 203, ""2"": 258, ""3"": 383}",1.341556,3,0.374023,0.0032148982863873243,0.13720703125,0.0867904,-1.0620412081480026,0.9322690963745117,0.00021697600000000002,-0.015107806771993637,-0.0067246705875732005,0.0261249381583184,,
134144,"{""0"": 167, ""1"": 234, ""2"": 307, ""3"": 316}",1.357051,3,0.308594,0.0016398358857259154,0.124267578125,0.086688,-1.093810223042965,0.9138501286506653,0.00021672,-0.009679513052105904,-0.006000430090352893,0.03357973101083189,,
135168,"{""0"": 141, ""1"": 252, ""2"": 212, ""3"": 419}",1.309738,3,0.40918,0.0014811053406447172,0.07958984375,0.0865856,-1.0785247907042503,0.9323947429656982,0.000216464,-0.010678324848413467,-0.005558926612138748,0.03125444566830993,,
136192,"{""0"": 121, ""1"": 197, ""2"": 290, ""3"": 416}",1.29269,3,0.40625,0.0022108701523393393,0.094482421875,0.08648320000000001,-1.07173490524292,0.836188554763794,0.00021620800000000001,-0.009921008720993996,-0.006682104314677417,0.038430102285929024,,
137216,"{""0"": 146, ""1"": 221, ""2"": 275, ""3"": 382}",1.329555,3,0.373047,0.001362024573609233,0.10693359375,0.08638080000000001,-1.0636719539761543,0.8440464735031128,0.00021595200000000002,-0.0046829953789711,-0.006369833135977387,0.05713354307226837,,
138240,"{""0"": 152, ""1"": 259, ""2"": 330, ""3"": 283}",1.351188,2,0.322266,0.002088751643896103,0.112548828125,0.0862784,-1.062556453049183,0.8729025721549988,0.000215696,-0.006790312007069588,-0.005796656245365739,0.04139461903832853,,
139264,"{""0"": 138, ""1"": 218, ""2"": 298, ""3"": 370}",1.326481,3,0.361328,0.0019205489661544561,0.08642578125,0.086176,-1.08732770383358,0.9398853778839111,0.00021543999999999998,-0.02134622447192669,-0.005498898681253195,0.017575192847289145,,
140288,"{""0"": 148, ""1"": 221, ""2"": 328, ""3"": 327}",1.339668,2,0.320312,0.0030526190530508757,0.10986328125,0.0860736,-1.0858137980103493,0.7870199084281921,0.000215184,-0.0016324371099472046,-0.005386446544434875,0.05781843024305999,,
141312,"{""0"": 149, ""1"": 248, ""2"": 289, ""3"": 338}",1.346799,3,0.330078,0.002344863722100854,0.128173828125,0.08597120000000001,-1.064222477376461,0.7983065247535706,0.000214928,0.0050337351858615875,-0.0064635638846084476,0.06834655487909913,,
