Timesteps,RolloutActions,RolloutActionEntropy,RolloutDominantAction,RolloutDominantActionFraction,train_approx_kl,train_clip_fraction,train_clip_range,train_entropy_loss,train_explained_variance,train_learning_rate,train_loss,train_policy_gradient_loss,train_value_loss,rollout_ep_len_mean,rollout_ep_rew_mean
1024,"{""0"": 177, ""1"": 178, ""2"": 162, ""3"": 160, ""4"": 172, ""5"": 175}",1.790885,1,0.173828,,,,,,,,,,,
2048,"{""0"": 157, ""1"": 204, ""2"": 168, ""3"": 155, ""4"": 163, ""5"": 177}",1.787191,1,0.199219,0.002221745904535055,0.01953125,0.0998976,-1.790830411016941,0.0026165246963500977,0.000249744,0.03066837601363659,-0.005571236048126593,0.14244144363328815,,
3072,"{""0"": 139, ""1"": 175, ""2"": 156, ""3"": 173, ""4"": 180, ""5"": 201}",1.785258,5,0.196289,0.00023029273143038154,0.0,0.0997952,-1.7877345532178879,0.28870517015457153,0.00024948799999999997,0.01891852356493473,-0.000105439277831465,0.1013715760782361,,
4096,"{""0"": 142, ""1"": 194, ""2"": 155, ""3"": 124, ""4"": 183, ""5"": 226}",1.77179,5,0.220703,0.0012866647448390722,0.00341796875,0.09969280000000001,-1.7849127724766731,0.21646147966384888,0.000249232,0.03895099461078644,-0.002122047357261181,0.181691637262702,,
5120,"{""0"": 149, ""1"": 169, ""2"": 153, ""3"": 136, ""4"": 219, ""5"": 198}",1.777563,4,0.213867,0.001706829876638949,0.03125,0.09959040000000001,-1.7771138474345207,0.295515775680542,0.000248976,0.07151138037443161,-0.0009127394296228886,0.2605280615389347,,
6144,"{""0"": 150, ""1"": 182, ""2"": 147, ""3"": 170, ""4"": 170, ""5"": 205}",1.785274,5,0.200195,0.0021480792202055454,0.043212890625,0.09948800000000001,-1.7816912680864334,0.4004884362220764,0.00024872,0.04103511571884155,-0.0018509907531552017,0.1595679046586156,,
7168,"{""0"": 131, ""1"": 191, ""2"": 170, ""3"": 156, ""4"": 187, ""5"": 189}",1.783419,1,0.186523,0.001817583222873509,0.039306640625,0.0993856,-1.7818243578076363,0.60533607006073,0.000248464,0.017184847965836525,-0.002301982225617394,0.1281639626249671,,
8192,"{""0"": 127, ""1"": 205, ""2"": 154, ""3"": 175, ""4"": 169, ""5"": 194}",1.780227,1,0.200195,0.0022476590238511562,0.045166015625,0.09928320000000002,-1.7780323773622513,0.6013025045394897,0.00024820800000000003,0.04867172986268997,-0.001010532258078456,0.18496898375451565,,
9216,"{""0"": 108, ""1"": 242, ""2"": 163, ""3"": 169, ""4"": 161, ""5"": 181}",1.765201,1,0.236328,0.0012197220930829644,0.00390625,0.09918080000000001,-1.7725315243005753,0.6873976588249207,0.000247952,0.04028671234846115,-0.0006460249423980713,0.15117599163204432,,
10240,"{""0"": 122, ""1"": 188, ""2"": 184, ""3"": 143, ""4"": 169, ""5"": 218}",1.774685,5,0.212891,0.0012977055739611387,0.03271484375,0.09907840000000001,-1.7736215442419052,0.8170769810676575,0.000247696,0.039156459271907806,-0.0009718841756694019,0.13634478906169534,,
