Timesteps,Epsilon,BufferSize,TotalActions,IntervalActions,TotalActionEntropy,IntervalActionEntropy,TargetEntropy,QBackupMode,QClipValue,TargetUpdateInterval,EntropyPenaltyCoef,MeanQ,MeanTargetQ,MeanQGap,ActorEntropy,Alpha,LogAlpha,ActorLoss,Q1Loss,Q2Loss,AlphaLoss,EntropyPenalty,PolicyMeanProbs,BatchGreedyActions
50000,0.0,50000,"{""0"": 8361, ""1"": 8300, ""2"": 8283, ""3"": 8185, ""4"": 8405, ""5"": 8466}","{""0"": 8361, ""1"": 8300, ""2"": 8283, ""3"": 8185, ""4"": 8405, ""5"": 8466}",1.7917,1.7917,1.594666,min,,8000,0.0,3.26737642288208,3.194000244140625,0.06327902525663376,1.791310429573059,0.16525542736053467,-1.8002630472183228,-3.5630946159362793,0.17260536551475525,0.16775880753993988,0.03250384330749512,0.0,"[0.17044265568256378, 0.16767717897891998, 0.1636192351579666, 0.1650468409061432, 0.1637641340494156, 0.16945001482963562]","{""0"": 22, ""1"": 21, ""3"": 2, ""5"": 19}"
100000,0.0,100000,"{""0"": 16639, ""1"": 16223, ""2"": 16740, ""3"": 16217, ""4"": 17128, ""5"": 17053}","{""0"": 8278, ""1"": 7923, ""2"": 8457, ""3"": 8032, ""4"": 8723, ""5"": 8587}",1.791529,1.791166,1.594666,min,,8000,0.0,3.1228578090667725,3.0963518619537354,0.07873237133026123,1.7379776239395142,0.011450364254415035,-4.469733715057373,-3.1457066535949707,0.21644362807273865,0.2125582993030548,0.0016412913100793958,0.0,"[0.1718122363090515, 0.1604955494403839, 0.17089027166366577, 0.12738917768001556, 0.16502870619297028, 0.20438405871391296]","{""0"": 2, ""1"": 6, ""2"": 17, ""4"": 8, ""5"": 31}"
150000,0.0,100000,"{""0"": 22648, ""1"": 24781, ""2"": 23220, ""3"": 22450, ""4"": 27029, ""5"": 29872}","{""0"": 6009, ""1"": 8558, ""2"": 6480, ""3"": 6233, ""4"": 9901, ""5"": 12819}",1.786148,1.750761,1.594666,min,,8000,0.0,2.7461917400360107,2.793856620788574,0.07728736102581024,1.5646764039993286,0.014133946970105171,-4.259175777435303,-2.774543285369873,0.022008448839187622,0.016622226685285568,-0.00042382098035886884,0.0,"[0.12089826166629791, 0.21428410708904266, 0.1295701116323471, 0.11431163549423218, 0.16161216795444489, 0.25932371616363525]","{""0"": 2, ""1"": 11, ""2"": 5, ""4"": 21, ""5"": 25}"
200000,0.0,100000,"{""0"": 29424, ""1"": 33922, ""2"": 31260, ""3"": 29772, ""4"": 35522, ""5"": 40100}","{""0"": 6776, ""1"": 9141, ""2"": 8040, ""3"": 7322, ""4"": 8493, ""5"": 10228}",1.785649,1.782461,1.594666,min,,8000,0.0,2.5837039947509766,2.5982131958007812,0.08799844980239868,1.472415804862976,0.021349802613258362,-3.846712827682495,-2.631053924560547,0.05626615881919861,0.06540022790431976,-0.002609048970043659,0.0,"[0.13131670653820038, 0.2794601619243622, 0.11535092443227768, 0.12442537397146225, 0.17226046323776245, 0.17718636989593506]","{""0"": 7, ""1"": 32, ""2"": 5, ""3"": 3, ""4"": 8, ""5"": 9}"
250000,0.0,100000,"{""0"": 36895, ""1"": 42632, ""2"": 38177, ""3"": 37908, ""4"": 43458, ""5"": 50930}","{""0"": 7471, ""1"": 8710, ""2"": 6917, ""3"": 8136, ""4"": 7936, ""5"": 10830}",1.785281,1.781043,1.594666,min,,8000,0.0,2.493277072906494,2.5008950233459473,0.06033607944846153,1.6156904697418213,0.027016226202249527,-3.6113176345825195,-2.548680543899536,0.009189791046082973,0.011221224442124367,0.0005680107278749347,0.0,"[0.1589360386133194, 0.1366390734910965, 0.1789388656616211, 0.1624750792980194, 0.1821485310792923, 0.1808624267578125]","{""0"": 5, ""1"": 4, ""2"": 13, ""3"": 9, ""4"": 20, ""5"": 13}"
300000,0.0,100000,"{""0"": 44765, ""1"": 51239, ""2"": 45071, ""3"": 46264, ""4"": 52082, ""5"": 60579}","{""0"": 7870, ""1"": 8607, ""2"": 6894, ""3"": 8356, ""4"": 8624, ""5"": 9649}",1.785812,1.786688,1.594666,min,,8000,0.0,2.6949167251586914,2.7258658409118652,0.05739903450012207,1.5344905853271484,0.026457061991095543,-3.632232189178467,-2.7553224563598633,0.006037549115717411,0.008352583274245262,-0.0015915478579699993,0.0,"[0.12564507126808167, 0.18579573929309845, 0.14151081442832947, 0.22673970460891724, 0.16647547483444214, 0.15383321046829224]","{""0"": 2, ""1"": 9, ""2"": 11, ""3"": 22, ""4"": 14, ""5"": 6}"
350000,0.0,100000,"{""0"": 52873, ""1"": 60404, ""2"": 51612, ""3"": 54991, ""4"": 59723, ""5"": 70397}","{""0"": 8108, ""1"": 9165, ""2"": 6541, ""3"": 8727, ""4"": 7641, ""5"": 9818}",1.786083,1.783453,1.594666,min,,8000,0.0,2.616626739501953,2.669459581375122,0.07008731365203857,1.5824707746505737,0.032083477824926376,-3.4394140243530273,-2.6865549087524414,0.005217755679041147,0.008497847244143486,-0.00039127893978729844,0.0,"[0.16266095638275146, 0.17549163103103638, 0.12596739828586578, 0.16168943047523499, 0.13490721583366394, 0.23928339779376984]","{""0"": 8, ""1"": 10, ""2"": 9, ""3"": 7, ""4"": 8, ""5"": 22}"
400000,0.0,100000,"{""0"": 61051, ""1"": 69492, ""2"": 58033, ""3"": 64633, ""4"": 66607, ""5"": 80184}","{""0"": 8178, ""1"": 9088, ""2"": 6421, ""3"": 9642, ""4"": 6884, ""5"": 9787}",1.786247,1.779261,1.594666,min,,8000,0.0,2.658982276916504,2.702768325805664,0.06023655831813812,1.5820224285125732,0.03264116495847702,-3.4221811294555664,-2.730250120162964,0.004379345569759607,0.007088798098266125,-0.0004127373977098614,0.0,"[0.17623025178909302, 0.17227762937545776, 0.1538468301296234, 0.17607508599758148, 0.14842170476913452, 0.173148512840271]","{""0"": 7, ""1"": 8, ""2"": 11, ""3"": 15, ""4"": 7, ""5"": 16}"
450000,0.0,100000,"{""0"": 69405, ""1"": 78727, ""2"": 65026, ""3"": 74566, ""4"": 73447, ""5"": 88829}","{""0"": 8354, ""1"": 9235, ""2"": 6993, ""3"": 9933, ""4"": 6840, ""5"": 8645}",1.786825,1.782677,1.594666,min,,8000,0.0,2.70574951171875,2.739964246749878,0.061836034059524536,1.5399668216705322,0.03281622380018234,-3.416832208633423,-2.7780394554138184,0.010089948773384094,0.008554992265999317,-0.0017948178574442863,0.0,"[0.1483466625213623, 0.18553082644939423, 0.1238817647099495, 0.15834227204322815, 0.20935764908790588, 0.17454083263874054]","{""0"": 2, ""1"": 16, ""2"": 8, ""3"": 8, ""4"": 14, ""5"": 16}"
500000,0.0,100000,"{""0"": 77586, ""1"": 88251, ""2"": 72499, ""3"": 83715, ""4"": 80881, ""5"": 97068}","{""0"": 8181, ""1"": 9524, ""2"": 7473, ""3"": 9149, ""4"": 7434, ""5"": 8239}",1.787372,1.787394,1.594666,min,,8000,0.0,2.7900333404541016,2.847451686859131,0.06951527297496796,1.658599615097046,0.031718723475933075,-3.45084810256958,-2.8514630794525146,0.006961417850106955,0.008751746267080307,0.0020281407050788403,0.0,"[0.15796661376953125, 0.19616535305976868, 0.14105170965194702, 0.17380215227603912, 0.1761312186717987, 0.15488296747207642]","{""0"": 7, ""1"": 16, ""2"": 5, ""3"": 12, ""4"": 13, ""5"": 11}"
