Timesteps,Epsilon,BufferSize,TotalActions,IntervalActions,TotalActionEntropy,IntervalActionEntropy,TargetEntropy,QBackupMode,QClipValue,TargetUpdateInterval,EntropyPenaltyCoef,MeanQ,MeanTargetQ,MeanQGap,ActorEntropy,Alpha,LogAlpha,ActorLoss,Q1Loss,Q2Loss,AlphaLoss,EntropyPenalty,PolicyMeanProbs,BatchGreedyActions
50000,0.0,50000,"{""0"": 12623, ""1"": 12486, ""2"": 12584, ""3"": 12307}","{""0"": 12623, ""1"": 12486, ""2"": 12584, ""3"": 12307}",1.386247,1.386247,1.233802,min,,8000,0.0,2.179291248321533,2.2270803451538086,0.04124833270907402,1.3861825466156006,0.16526736319065094,-1.800190806388855,-2.408505439758301,0.05460085719823837,0.05437112972140312,0.025189150124788284,0.0,"[0.24769805371761322, 0.2527090907096863, 0.2544440031051636, 0.24514883756637573]","{""2"": 64}"
100000,0.0,100000,"{""0"": 25070, ""1"": 24578, ""2"": 25837, ""3"": 24515}","{""0"": 12447, ""1"": 12092, ""2"": 13253, ""3"": 12208}",1.386072,1.385644,1.233802,min,,8000,0.0,1.754131555557251,1.777911901473999,0.029215462505817413,1.2495453357696533,0.01360793225467205,-4.297102451324463,-1.7743031978607178,0.005423898808658123,0.004540832247585058,0.00021421897690743208,0.0,"[0.21175965666770935, 0.20511794090270996, 0.3537605404853821, 0.22936184704303741]","{""0"": 6, ""1"": 1, ""2"": 36, ""3"": 21}"
150000,0.0,100000,"{""0"": 37590, ""1"": 37207, ""2"": 38542, ""3"": 36661}","{""0"": 12520, ""1"": 12629, ""2"": 12705, ""3"": 12146}",1.386127,1.386146,1.233802,min,,8000,0.0,1.9207561016082764,1.9665603637695312,0.0420353040099144,1.2106826305389404,0.05974797531962395,-2.817620038986206,-2.0406408309936523,0.007572863716632128,0.006549843121320009,-0.0013813568511977792,0.0,"[0.23941011726856232, 0.24231909215450287, 0.31110817193984985, 0.20716260373592377]","{""0"": 12, ""1"": 16, ""2"": 20, ""3"": 16}"
200000,0.0,100000,"{""0"": 50388, ""1"": 49811, ""2"": 50588, ""3"": 49213}","{""0"": 12798, ""1"": 12604, ""2"": 12046, ""3"": 12552}",1.386237,1.386046,1.233802,min,,8000,0.0,2.306692600250244,2.366737127304077,0.05538231134414673,1.203049659729004,0.06877592206001282,-2.6769015789031982,-2.4383459091186523,0.0033370114397257566,0.0070294407196342945,-0.002115075010806322,0.0,"[0.24345624446868896, 0.241487056016922, 0.23972085118293762, 0.2753359079360962]","{""0"": 14, ""1"": 10, ""2"": 18, ""3"": 22}"
250000,0.0,100000,"{""0"": 63691, ""1"": 62889, ""2"": 61741, ""3"": 61679}","{""0"": 13303, ""1"": 13078, ""2"": 11153, ""3"": 12466}",1.386204,1.384018,1.233802,min,,8000,0.0,2.302285671234131,2.3346967697143555,0.06696444749832153,1.255570411682129,0.06904149800539017,-2.6730475425720215,-2.414997100830078,0.007808839902281761,0.009554633870720863,0.00150284671690315,0.0,"[0.26500535011291504, 0.2615523636341095, 0.22798961400985718, 0.24545268714427948]","{""0"": 14, ""1"": 10, ""2"": 20, ""3"": 20}"
300000,0.0,100000,"{""0"": 76748, ""1"": 76268, ""2"": 73016, ""3"": 73968}","{""0"": 13057, ""1"": 13379, ""2"": 11275, ""3"": 12289}",1.386079,1.384168,1.233802,min,,8000,0.0,2.6778042316436768,2.7428507804870605,0.04721178859472275,1.2217485904693604,0.06074540689587593,-2.8010637760162354,-2.78468656539917,0.0052534667775034904,0.006488885264843702,-0.0007321507437154651,0.0,"[0.23903094232082367, 0.23588702082633972, 0.23749324679374695, 0.28758880496025085]","{""0"": 8, ""1"": 7, ""2"": 26, ""3"": 23}"
350000,0.0,100000,"{""0"": 89654, ""1"": 89490, ""2"": 84370, ""3"": 86486}","{""0"": 12906, ""1"": 13222, ""2"": 11354, ""3"": 12518}",1.385976,1.38467,1.233802,min,,8000,0.0,2.443835973739624,2.5025391578674316,0.058922264724969864,1.145764708518982,0.057000402361154556,-2.864696979522705,-2.5572824478149414,0.005966831464320421,0.008457202464342117,-0.005018043331801891,0.0,"[0.24279144406318665, 0.23778164386749268, 0.2016812413930893, 0.3177456557750702]","{""0"": 12, ""1"": 9, ""2"": 19, ""3"": 24}"
400000,0.0,100000,"{""0"": 102475, ""1"": 102427, ""2"": 95712, ""3"": 99386}","{""0"": 12821, ""1"": 12937, ""2"": 11342, ""3"": 12900}",1.385907,1.384827,1.233802,min,,8000,0.0,2.4211020469665527,2.466749668121338,0.04429846256971359,1.2827026844024658,0.04907584562897682,-3.0143883228302,-2.498506546020508,0.006772947497665882,0.00688434112817049,0.0024000112898647785,0.0,"[0.2845034599304199, 0.26900723576545715, 0.22965848445892334, 0.21683084964752197]","{""0"": 23, ""1"": 4, ""2"": 21, ""3"": 16}"
450000,0.0,100000,"{""0"": 115628, ""1"": 115241, ""2"": 107082, ""3"": 112049}","{""0"": 13153, ""1"": 12814, ""2"": 11370, ""3"": 12663}",1.385828,1.384806,1.233802,min,,8000,0.0,2.394937753677368,2.442431926727295,0.04024907574057579,1.2580149173736572,0.039904363453388214,-3.2212696075439453,-2.472766399383545,0.002550683915615082,0.003741663647815585,0.0009660539217293262,0.0,"[0.23822307586669922, 0.24898666143417358, 0.24501970410346985, 0.26777055859565735]","{""0"": 9, ""1"": 10, ""2"": 22, ""3"": 23}"
500000,0.0,100000,"{""0"": 128466, ""1"": 128017, ""2"": 118483, ""3"": 125034}","{""0"": 12838, ""1"": 12776, ""2"": 11401, ""3"": 12985}",1.385781,1.384962,1.233802,min,,8000,0.0,2.1406495571136475,2.213118076324463,0.05673125386238098,1.1669738292694092,0.038853541016578674,-3.2479560375213623,-2.2287182807922363,0.004228874109685421,0.00623524934053421,-0.0025960742495954037,0.0,"[0.2532995045185089, 0.230725958943367, 0.2298165261745453, 0.28615802526474]","{""0"": 15, ""1"": 3, ""2"": 21, ""3"": 25}"
550000,0.0,100000,"{""0"": 141442, ""1"": 140836, ""2"": 129851, ""3"": 137871}","{""0"": 12976, ""1"": 12819, ""2"": 11368, ""3"": 12837}",1.385724,1.384887,1.233802,min,,8000,0.0,2.195574998855591,2.25050687789917,0.050125639885663986,1.2092175483703613,0.03415447100996971,-3.376861810684204,-2.2623074054718018,0.003428846597671509,0.0026353399734944105,-0.000839649117551744,0.0,"[0.24332784116268158, 0.25134173035621643, 0.22742623090744019, 0.2779041528701782]","{""0"": 10, ""1"": 14, ""2"": 17, ""3"": 23}"
600000,0.0,100000,"{""0"": 154191, ""1"": 153958, ""2"": 141111, ""3"": 150740}","{""0"": 12749, ""1"": 13122, ""2"": 11260, ""3"": 12869}",1.38566,1.38456,1.233802,min,,8000,0.0,2.0941243171691895,2.1596341133117676,0.059270136058330536,1.1763193607330322,0.03324810415506363,-3.4037575721740723,-2.1799302101135254,0.005136639811098576,0.004897651262581348,-0.0019113195594400167,0.0,"[0.251677930355072, 0.250488817691803, 0.22671715915203094, 0.27111607789993286]","{""0"": 16, ""1"": 10, ""2"": 16, ""3"": 22}"
650000,0.0,100000,"{""0"": 167030, ""1"": 166932, ""2"": 152234, ""3"": 163804}","{""0"": 12839, ""1"": 12974, ""2"": 11123, ""3"": 13064}",1.385588,1.384199,1.233802,min,,8000,0.0,2.384256362915039,2.40756893157959,0.04076628386974335,1.2482463121414185,0.02812325581908226,-3.5711584091186523,-2.434269666671753,0.0024033868685364723,0.002192425075918436,0.00040617334889248013,0.0,"[0.2605520486831665, 0.2756252884864807, 0.21847113966941833, 0.24535152316093445]","{""0"": 7, ""1"": 14, ""2"": 15, ""3"": 28}"
700000,0.0,100000,"{""0"": 179595, ""1"": 179959, ""2"": 163590, ""3"": 176856}","{""0"": 12565, ""1"": 13027, ""2"": 11356, ""3"": 13052}",1.385552,1.384751,1.233802,min,,8000,0.0,2.2187867164611816,2.2630157470703125,0.0517648383975029,1.1722755432128906,0.02712177112698555,-3.6074185371398926,-2.277143716812134,0.004222562070935965,0.0035535097122192383,-0.001668644486926496,0.0,"[0.2677876651287079, 0.25372931361198425, 0.21362590789794922, 0.26485711336135864]","{""0"": 16, ""1"": 7, ""2"": 14, ""3"": 27}"
750000,0.0,100000,"{""0"": 192492, ""1"": 193037, ""2"": 174912, ""3"": 189559}","{""0"": 12897, ""1"": 13078, ""2"": 11322, ""3"": 12703}",1.385507,1.384727,1.233802,min,,8000,0.0,2.3290934562683105,2.358687400817871,0.04457167163491249,1.2460150718688965,0.023369120433926582,-3.7563397884368896,-2.3757543563842773,0.010234208777546883,0.011574468575417995,0.0002853964106179774,0.0,"[0.24847412109375, 0.24515214562416077, 0.22371801733970642, 0.2826557457447052]","{""0"": 8, ""1"": 10, ""2"": 19, ""3"": 27}"
800000,0.0,100000,"{""0"": 205272, ""1"": 206195, ""2"": 186313, ""3"": 202220}","{""0"": 12780, ""1"": 13158, ""2"": 11401, ""3"": 12661}",1.385475,1.384875,1.233802,min,,8000,0.0,2.254286766052246,2.293041467666626,0.04145281761884689,1.2373363971710205,0.02465357445180416,-3.702833414077759,-2.304835796356201,0.00255120312795043,0.0016558223869651556,8.713401621207595e-05,0.0,"[0.2563041150569916, 0.2696347236633301, 0.2234821617603302, 0.25057902932167053]","{""0"": 13, ""1"": 15, ""2"": 12, ""3"": 24}"
850000,0.0,100000,"{""0"": 218105, ""1"": 219246, ""2"": 197545, ""3"": 215104}","{""0"": 12833, ""1"": 13051, ""2"": 11232, ""3"": 12884}",1.385431,1.384518,1.233802,min,,8000,0.0,2.318675994873047,2.368020534515381,0.043982893228530884,1.2153042554855347,0.026214344426989555,-3.641448497772217,-2.3793935775756836,0.0018911920487880707,0.0019253918435424566,-0.00048488721949979663,0.0,"[0.24821656942367554, 0.25101643800735474, 0.24848249554634094, 0.25228452682495117]","{""0"": 10, ""1"": 14, ""2"": 19, ""3"": 21}"
900000,0.0,100000,"{""0"": 231083, ""1"": 231846, ""2"": 209056, ""3"": 228015}","{""0"": 12978, ""1"": 12600, ""2"": 11511, ""3"": 12911}",1.385424,1.385168,1.233802,min,,8000,0.0,2.257251739501953,2.2858312129974365,0.048190366476774216,1.2297344207763672,0.029167063534259796,-3.534715175628662,-2.3212411403656006,0.0039018092211335897,0.0032066269777715206,-0.00011862422979902476,0.0,"[0.2544821798801422, 0.2633543610572815, 0.21601200103759766, 0.26615142822265625]","{""0"": 13, ""1"": 20, ""2"": 14, ""3"": 17}"
950000,0.0,100000,"{""0"": 243910, ""1"": 244698, ""2"": 220576, ""3"": 240816}","{""0"": 12827, ""1"": 12852, ""2"": 11520, ""3"": 12801}",1.385416,1.38525,1.233802,min,,8000,0.0,2.2462239265441895,2.2804172039031982,0.041802018880844116,1.2153587341308594,0.03017040342092514,-3.5008938312530518,-2.30087947845459,0.0026035294868052006,0.0032515006605535746,-0.0005564555176533759,0.0,"[0.23960444331169128, 0.23638367652893066, 0.2666231393814087, 0.257388710975647]","{""0"": 10, ""1"": 13, ""2"": 23, ""3"": 18}"
