Timesteps,Epsilon,BufferSize,TotalActions,IntervalActions,TotalActionEntropy,IntervalActionEntropy,TargetEntropy,QBackupMode,QClipValue,TargetUpdateInterval,EntropyPenaltyCoef,MeanQ,MeanTargetQ,MeanQGap,ActorEntropy,Alpha,LogAlpha,ActorLoss,Q1Loss,Q2Loss,AlphaLoss,EntropyPenalty,PolicyMeanProbs,BatchGreedyActions
50000,0.0,50000,"{""0"": 8342, ""1"": 8381, ""2"": 8278, ""3"": 8151, ""4"": 8405, ""5"": 8443}","{""0"": 8342, ""1"": 8381, ""2"": 8278, ""3"": 8151, ""4"": 8405, ""5"": 8443}",1.791692,1.791692,1.594666,min,,8000,0.0,3.352184295654297,3.3755991458892822,0.02926573157310486,1.7914340496063232,0.1652325838804245,-1.800401210784912,-3.6485886573791504,0.05236625298857689,0.054334308952093124,0.032519787549972534,0.0,"[0.1682942807674408, 0.16138479113578796, 0.16649869084358215, 0.16661831736564636, 0.16803708672523499, 0.16916686296463013]","{""0"": 19, ""3"": 3, ""4"": 14, ""5"": 28}"
100000,0.0,100000,"{""0"": 16305, ""1"": 16039, ""2"": 16189, ""3"": 16996, ""4"": 17049, ""5"": 17422}","{""0"": 7963, ""1"": 7658, ""2"": 7911, ""3"": 8845, ""4"": 8644, ""5"": 8979}",1.791287,1.789902,1.594666,min,,8000,0.0,3.1599459648132324,3.111081838607788,0.07772565633058548,1.6916298866271973,0.011304952204227448,-4.482514381408691,-3.1847376823425293,0.11377806961536407,0.11787567287683487,0.0010963359382003546,0.0,"[0.18184122443199158, 0.11685585975646973, 0.12560708820819855, 0.20198878645896912, 0.14477017521858215, 0.22893685102462769]","{""0"": 5, ""3"": 18, ""4"": 9, ""5"": 32}"
150000,0.0,100000,"{""0"": 22448, ""1"": 24601, ""2"": 20937, ""3"": 25296, ""4"": 24493, ""5"": 32225}","{""0"": 6143, ""1"": 8562, ""2"": 4748, ""3"": 8300, ""4"": 7444, ""5"": 14803}",1.782089,1.72537,1.594666,min,,8000,0.0,2.8266754150390625,2.869211196899414,0.054506510496139526,1.6222134828567505,0.012368793599307537,-4.392578601837158,-2.848928928375244,0.02025553397834301,0.026886096224188805,0.0003407448239158839,0.0,"[0.12875425815582275, 0.18516352772712708, 0.08292016386985779, 0.19746531546115875, 0.14886519312858582, 0.2568315863609314]","{""1"": 8, ""3"": 12, ""4"": 3, ""5"": 41}"
200000,0.0,100000,"{""0"": 28844, ""1"": 32441, ""2"": 28430, ""3"": 32981, ""4"": 33676, ""5"": 43628}","{""0"": 6396, ""1"": 7840, ""2"": 7493, ""3"": 7685, ""4"": 9183, ""5"": 11403}",1.780961,1.774198,1.594666,min,,8000,0.0,2.611043930053711,2.6661391258239746,0.05591703578829765,1.5296504497528076,0.02111288160085678,-3.8578720092773438,-2.6581320762634277,0.006531909108161926,0.0100137609988451,-0.0013725076569244266,0.0,"[0.11527597159147263, 0.12178871035575867, 0.14101561903953552, 0.21104750037193298, 0.18121764063835144, 0.22965456545352936]","{""0"": 1, ""1"": 2, ""2"": 13, ""3"": 19, ""4"": 11, ""5"": 18}"
250000,0.0,100000,"{""0"": 35858, ""1"": 41329, ""2"": 35734, ""3"": 41159, ""4"": 41543, ""5"": 54377}","{""0"": 7014, ""1"": 8888, ""2"": 7304, ""3"": 8178, ""4"": 7867, ""5"": 10749}",1.781196,1.781158,1.594666,min,,8000,0.0,2.3224315643310547,2.3932652473449707,0.0650329664349556,1.5937066078186035,0.027341797947883606,-3.5993387699127197,-2.380939245223999,0.02983558550477028,0.022902201861143112,-2.6226392947137356e-05,0.0,"[0.1539698839187622, 0.17011615633964539, 0.13547831773757935, 0.18859609961509705, 0.15752647817134857, 0.19431307911872864]","{""0"": 6, ""1"": 14, ""2"": 8, ""3"": 13, ""4"": 9, ""5"": 14}"
300000,0.0,100000,"{""0"": 44297, ""1"": 50070, ""2"": 42055, ""3"": 50411, ""4"": 48629, ""5"": 64538}","{""0"": 8439, ""1"": 8741, ""2"": 6321, ""3"": 9252, ""4"": 7086, ""5"": 10161}",1.78189,1.779555,1.594666,min,,8000,0.0,2.5598411560058594,2.589279890060425,0.06858500838279724,1.5837982892990112,0.03347046673297882,-3.397091865539551,-2.6275832653045654,0.010567394085228443,0.01381315290927887,-0.0003637223271653056,0.0,"[0.14379572868347168, 0.15813854336738586, 0.12332642078399658, 0.17521598935127258, 0.14931127429008484, 0.25021204352378845]","{""0"": 1, ""1"": 5, ""2"": 8, ""3"": 11, ""4"": 7, ""5"": 32}"
350000,0.0,100000,"{""0"": 52332, ""1"": 59136, ""2"": 48580, ""3"": 59545, ""4"": 55979, ""5"": 74428}","{""0"": 8035, ""1"": 9066, ""2"": 6525, ""3"": 9134, ""4"": 7350, ""5"": 9890}",1.782355,1.782085,1.594666,min,,8000,0.0,2.6601433753967285,2.711881160736084,0.04916517063975334,1.624746561050415,0.03290731459856033,-3.414060354232788,-2.728193759918213,0.00546190096065402,0.0055577619932591915,0.0009901586454361677,0.0,"[0.16637934744358063, 0.18086354434490204, 0.15594926476478577, 0.1823572814464569, 0.13624918460845947, 0.178201362490654]","{""0"": 6, ""1"": 13, ""2"": 13, ""3"": 16, ""4"": 3, ""5"": 13}"
400000,0.0,100000,"{""0"": 60792, ""1"": 68683, ""2"": 54853, ""3"": 68960, ""4"": 62472, ""5"": 84240}","{""0"": 8460, ""1"": 9547, ""2"": 6273, ""3"": 9415, ""4"": 6493, ""5"": 9812}",1.782456,1.776248,1.594666,min,,8000,0.0,3.0151572227478027,3.0468969345092773,0.06054776906967163,1.5390874147415161,0.03303603082895279,-3.410156488418579,-3.0912203788757324,0.012533886358141899,0.020920753479003906,-0.0018358773086220026,0.0,"[0.15329156816005707, 0.19717836380004883, 0.13926711678504944, 0.17165589332580566, 0.16768980026245117, 0.1709173172712326]","{""0"": 9, ""1"": 11, ""2"": 4, ""3"": 12, ""4"": 11, ""5"": 17}"
450000,0.0,100000,"{""0"": 69547, ""1"": 77718, ""2"": 61605, ""3"": 77872, ""4"": 69630, ""5"": 93628}","{""0"": 8755, ""1"": 9035, ""2"": 6752, ""3"": 8912, ""4"": 7158, ""5"": 9388}",1.783048,1.784348,1.594666,min,,8000,0.0,2.9295575618743896,2.95501971244812,0.056639622896909714,1.6345405578613281,0.03200436010956764,-3.441883087158203,-2.997230291366577,0.012300293892621994,0.013382859528064728,0.0012763028498739004,0.0,"[0.1674528419971466, 0.17191557586193085, 0.17106010019779205, 0.1751445084810257, 0.13474416732788086, 0.17968282103538513]","{""0"": 6, ""1"": 7, ""2"": 17, ""3"": 7, ""4"": 4, ""5"": 23}"
500000,0.0,100000,"{""0"": 77942, ""1"": 86761, ""2"": 68039, ""3"": 86667, ""4"": 77008, ""5"": 103583}","{""0"": 8395, ""1"": 9043, ""2"": 6434, ""3"": 8795, ""4"": 7378, ""5"": 9955}",1.783079,1.782106,1.594666,min,,8000,0.0,2.852931022644043,2.9000630378723145,0.06728662550449371,1.5885422229766846,0.035610102117061615,-3.3351259231567383,-2.9239721298217773,0.006528625730425119,0.00782193522900343,-0.00021805177675560117,0.0,"[0.14988993108272552, 0.17206653952598572, 0.1276417374610901, 0.15063513815402985, 0.16285428404808044, 0.23691239953041077]","{""0"": 7, ""1"": 8, ""2"": 6, ""3"": 6, ""4"": 12, ""5"": 25}"
550000,0.0,100000,"{""0"": 86346, ""1"": 96338, ""2"": 74660, ""3"": 95536, ""4"": 84436, ""5"": 112684}","{""0"": 8404, ""1"": 9577, ""2"": 6621, ""3"": 8869, ""4"": 7428, ""5"": 9101}",1.783437,1.784151,1.594666,min,,8000,0.0,3.144021987915039,3.185420513153076,0.06534382700920105,1.586830973625183,0.0350094698369503,-3.3521366119384766,-3.216627597808838,0.0059552183374762535,0.008998608216643333,-0.00027428584871813655,0.0,"[0.18740519881248474, 0.2041032612323761, 0.11382471024990082, 0.16188348829746246, 0.14021643996238708, 0.19256691634655]","{""0"": 12, ""1"": 17, ""2"": 4, ""3"": 9, ""4"": 4, ""5"": 18}"
