Timesteps,Epsilon,BufferSize,TotalActions,IntervalActions,TotalActionEntropy,IntervalActionEntropy,TargetEntropy,QBackupMode,QClipValue,TargetUpdateInterval,EntropyPenaltyCoef,MeanQ,MeanTargetQ,MeanQGap,ActorEntropy,Alpha,LogAlpha,ActorLoss,Q1Loss,Q2Loss,AlphaLoss,EntropyPenalty,PolicyMeanProbs,BatchGreedyActions
50000,0.0,50000,"{""0"": 8365, ""1"": 8379, ""2"": 8298, ""3"": 8165, ""4"": 8378, ""5"": 8415}","{""0"": 8365, ""1"": 8379, ""2"": 8298, ""3"": 8165, ""4"": 8378, ""5"": 8415}",1.79171,1.79171,1.594666,min,,8000,0.0,2.899585723876953,2.8928945064544678,0.055641040205955505,1.7917377948760986,0.16518762707710266,-1.8006733655929565,-3.195611000061035,0.00837300531566143,0.0033420249819755554,0.03256112337112427,0.0,"[0.16637901961803436, 0.16547968983650208, 0.16582302749156952, 0.1672411412000656, 0.1662743091583252, 0.168802872300148]","{""5"": 64}"
100000,0.0,100000,"{""0"": 16247, ""1"": 16184, ""2"": 16786, ""3"": 17026, ""4"": 16665, ""5"": 17092}","{""0"": 7882, ""1"": 7805, ""2"": 8488, ""3"": 8861, ""4"": 8287, ""5"": 8677}",1.791539,1.79067,1.594666,min,,8000,0.0,2.4978976249694824,2.5879716873168945,0.051984213292598724,1.787736177444458,0.010408969596028328,-4.56508731842041,-2.5164809226989746,0.006954563781619072,0.006451434455811977,0.00201009726151824,0.0,"[0.1531832367181778, 0.1550619900226593, 0.16628724336624146, 0.19101062417030334, 0.15221688151359558, 0.18224002420902252]","{""3"": 64}"
150000,0.0,100000,"{""0"": 23893, ""1"": 23445, ""2"": 24525, ""3"": 27506, ""4"": 23929, ""5"": 26702}","{""0"": 7646, ""1"": 7261, ""2"": 7739, ""3"": 10480, ""4"": 7264, ""5"": 9610}",1.78989,1.780893,1.594666,min,,8000,0.0,2.2631726264953613,2.2751972675323486,0.0332307443022728,1.7516062259674072,0.0067379469983279705,-5.0,-2.2770752906799316,0.003141583874821663,0.001965239644050598,0.0010574555490165949,0.0,"[0.17287491261959076, 0.1453632414340973, 0.11220818758010864, 0.2332334965467453, 0.11556781828403473, 0.22075235843658447]","{""3"": 64}"
200000,0.0,100000,"{""0"": 32228, ""1"": 30336, ""2"": 29458, ""3"": 39730, ""4"": 28760, ""5"": 39488}","{""0"": 8335, ""1"": 6891, ""2"": 4933, ""3"": 12224, ""4"": 4831, ""5"": 12786}",1.782583,1.719186,1.594666,min,,8000,0.0,2.136949062347412,2.141879081726074,0.033596184104681015,1.747312307357788,0.0067379469983279705,-5.0,-2.151080369949341,0.030937522649765015,0.032966554164886475,0.0010285230819135904,0.0,"[0.1557987630367279, 0.13623887300491333, 0.14456240832805634, 0.20989443361759186, 0.11979072540998459, 0.23371484875679016]","{""5"": 64}"
250000,0.0,100000,"{""0"": 39951, ""1"": 36955, ""2"": 37165, ""3"": 49511, ""4"": 36713, ""5"": 49705}","{""0"": 7723, ""1"": 6619, ""2"": 7707, ""3"": 9781, ""4"": 7953, ""5"": 10217}",1.782567,1.780495,1.594666,min,,8000,0.0,1.5930408239364624,1.6137175559997559,0.025846656411886215,1.6788963079452515,0.0067379469983279705,-5.0,-1.6057029962539673,0.00278303399682045,0.0039900848641991615,0.0005675398278981447,0.0,"[0.14229348301887512, 0.12812018394470215, 0.2088586688041687, 0.1874256730079651, 0.1820838302373886, 0.15121814608573914]","{""2"": 35, ""3"": 24, ""4"": 4, ""5"": 1}"
300000,0.0,100000,"{""0"": 46880, ""1"": 43286, ""2"": 46044, ""3"": 59571, ""4"": 45301, ""5"": 58918}","{""0"": 6929, ""1"": 6331, ""2"": 8879, ""3"": 10060, ""4"": 8588, ""5"": 9213}",1.783176,1.779319,1.594666,min,,8000,0.0,1.4764360189437866,1.501943588256836,0.03620131313800812,1.5623878240585327,0.009714740328490734,-4.634110927581787,-1.5059378147125244,0.006645456422120333,0.0064493147656321526,-0.00031347008189186454,0.0,"[0.1229017823934555, 0.11176229268312454, 0.19238406419754028, 0.20242086052894592, 0.22451409697532654, 0.1460168957710266]","{""1"": 2, ""2"": 10, ""3"": 21, ""4"": 28, ""5"": 3}"
350000,0.0,100000,"{""0"": 54889, ""1"": 50700, ""2"": 54267, ""3"": 68874, ""4"": 53209, ""5"": 68061}","{""0"": 8009, ""1"": 7414, ""2"": 8223, ""3"": 9303, ""4"": 7908, ""5"": 9143}",1.784123,1.788493,1.594666,min,,8000,0.0,1.4439799785614014,1.4683789014816284,0.03543851524591446,1.6869627237319946,0.012409580871462822,-4.389286518096924,-1.4677679538726807,0.003351878374814987,0.001428189454600215,0.001145797548815608,0.0,"[0.15880899131298065, 0.16170838475227356, 0.18495330214500427, 0.1500241458415985, 0.15648117661476135, 0.18802401423454285]","{""0"": 9, ""1"": 2, ""2"": 21, ""3"": 8, ""4"": 5, ""5"": 19}"
400000,0.0,100000,"{""0"": 62562, ""1"": 58366, ""2"": 62512, ""3"": 78439, ""4"": 61209, ""5"": 76912}","{""0"": 7673, ""1"": 7666, ""2"": 8245, ""3"": 9565, ""4"": 8000, ""5"": 8851}",1.784851,1.788476,1.594666,min,,8000,0.0,1.4278223514556885,1.4465216398239136,0.04687068983912468,1.5434683561325073,0.014583545736968517,-4.227861404418945,-1.4692299365997314,0.0036239256151020527,0.0040848394855856895,-0.0007465080707333982,0.0,"[0.14425309002399445, 0.15648773312568665, 0.1329355686903, 0.23681972920894623, 0.12268632650375366, 0.20681756734848022]","{""0"": 3, ""1"": 8, ""2"": 6, ""3"": 27, ""4"": 3, ""5"": 17}"
450000,0.0,100000,"{""0"": 70337, ""1"": 66584, ""2"": 70527, ""3"": 87806, ""4"": 68980, ""5"": 85766}","{""0"": 7775, ""1"": 8218, ""2"": 8015, ""3"": 9367, ""4"": 7771, ""5"": 8854}",1.785543,1.789298,1.594666,min,,8000,0.0,1.1874808073043823,1.2067652940750122,0.03836154192686081,1.6020679473876953,0.01564832217991352,-4.157391548156738,-1.2218225002288818,0.004863595589995384,0.005157415755093098,0.00011582745355553925,0.0,"[0.13370081782341003, 0.1482459306716919, 0.1905638873577118, 0.177300363779068, 0.15916341543197632, 0.19102561473846436]","{""0"": 3, ""1"": 4, ""2"": 11, ""3"": 10, ""4"": 10, ""5"": 26}"
500000,0.0,100000,"{""0"": 78162, ""1"": 74654, ""2"": 78482, ""3"": 97136, ""4"": 76233, ""5"": 95333}","{""0"": 7825, ""1"": 8070, ""2"": 7955, ""3"": 9330, ""4"": 7253, ""5"": 9567}",1.785764,1.78683,1.594666,min,,8000,0.0,1.1811742782592773,1.2001841068267822,0.04094440117478371,1.595859169960022,0.015539797022938728,-4.164350986480713,-1.2163327932357788,0.004210903309285641,0.005112986546009779,1.8544000340625644e-05,0.0,"[0.19892504811286926, 0.1433446854352951, 0.14348982274532318, 0.1769542247056961, 0.165218323469162, 0.17206788063049316]","{""0"": 21, ""1"": 4, ""2"": 7, ""3"": 11, ""4"": 6, ""5"": 15}"
