Timesteps,RolloutActions,RolloutActionEntropy,RolloutDominantAction,RolloutDominantActionFraction,train_approx_kl,train_clip_fraction,train_clip_range,train_entropy_loss,train_explained_variance,train_learning_rate,train_loss,train_policy_gradient_loss,train_value_loss,rollout_ep_len_mean,rollout_ep_rew_mean
1024,"{""0"": 243, ""1"": 249, ""2"": 249, ""3"": 283}",1.384434,3,0.276367,,,,,,,,,,,
2048,"{""0"": 271, ""1"": 221, ""2"": 295, ""3"": 237}",1.379952,2,0.288086,0.001898361137136817,0.0,0.0998976,-1.3853017017245293,0.012607157230377197,0.000249744,0.020245391875505447,-0.002058978658169508,0.14527165098115802,,
3072,"{""0"": 269, ""1"": 243, ""2"": 275, ""3"": 237}",1.384271,2,0.268555,4.524708492681384e-05,0.0,0.0997952,-1.3830423280596733,0.029772520065307617,0.00024948799999999997,0.0231865793466568,0.00015043251914903522,0.08150203619152308,,
4096,"{""0"": 315, ""1"": 220, ""2"": 275, ""3"": 214}",1.373279,0,0.307617,0.0016353116370737553,0.01953125,0.09969280000000001,-1.3822796866297722,0.04265880584716797,0.000249232,0.03096773289144039,-0.0014164247550070286,0.09844490746036172,,
5120,"{""0"": 295, ""1"": 261, ""2"": 239, ""3"": 229}",1.381477,0,0.288086,0.0004447554820217192,0.0,0.09959040000000001,-1.3794610053300858,0.1083250641822815,0.000248976,0.01966991275548935,-0.0004859933687839657,0.07469485187903047,,
6144,"{""0"": 275, ""1"": 221, ""2"": 275, ""3"": 253}",1.382482,0,0.268555,0.0011550888884812593,0.0,0.09948800000000001,-1.38315898925066,0.21512210369110107,0.00024872,0.00969950295984745,-0.0011015947093255818,0.06205475330352783,,
7168,"{""0"": 280, ""1"": 263, ""2"": 262, ""3"": 219}",1.382321,0,0.273438,6.452633533626795e-05,0.0,0.0993856,-1.3844704180955887,0.27267885208129883,0.000248464,0.020479504019021988,-4.616798833012581e-05,0.0678753952961415,,
8192,"{""0"": 252, ""1"": 241, ""2"": 266, ""3"": 265}",1.385485,2,0.259766,0.00035857054172083735,0.0,0.09928320000000002,-1.385243147611618,0.3115496039390564,0.00024820800000000003,0.008048338815569878,-0.0005832716997247189,0.05125582031905651,,
9216,"{""0"": 248, ""1"": 283, ""2"": 267, ""3"": 226}",1.382812,1,0.276367,0.0004073916934430599,0.0,0.09918080000000001,-1.3858630955219269,0.4361000061035156,0.000247952,0.010351073928177357,-0.0006305099232122302,0.06617235206067562,,
10240,"{""0"": 244, ""1"": 279, ""2"": 300, ""3"": 201}",1.375304,2,0.292969,0.002931842813268304,0.04248046875,0.09907840000000001,-1.3835845962166786,0.5609399080276489,0.000247696,-0.003937198780477047,-0.002382881531957537,0.031155320932157338,,
