Timesteps,RolloutActions,RolloutActionEntropy,RolloutDominantAction,RolloutDominantActionFraction,train_approx_kl,train_clip_fraction,train_clip_range,train_entropy_loss,train_explained_variance,train_learning_rate,train_loss,train_policy_gradient_loss,train_value_loss,rollout_ep_len_mean,rollout_ep_rew_mean
70656,"{""0"": 93, ""1"": 226, ""2"": 146, ""3"": 191, ""4"": 201, ""5"": 167}",1.757612,1,0.220703,0.0026320188771933317,0.130859375,0.0930368,-1.7319608852267265,0.6793283224105835,0.000232592,0.04408865422010422,-0.0034683784761000425,0.15641307458281517,,
71680,"{""0"": 82, ""1"": 247, ""2"": 127, ""3"": 176, ""4"": 222, ""5"": 170}",1.736289,1,0.241211,0.0011545892339199781,0.01318359375,0.0929344,-1.7566441670060158,0.836313009262085,0.00023233599999999998,0.020902376621961594,-0.0010136353957932442,0.10929882014170289,,
72704,"{""0"": 78, ""1"": 249, ""2"": 135, ""3"": 173, ""4"": 228, ""5"": 161}",1.732841,1,0.243164,0.002830395707860589,0.060302734375,0.09283200000000001,-1.718142330646515,0.866412878036499,0.00023208000000000001,0.007528100162744522,-0.0024213208234868944,0.0774385433178395,,
73728,"{""0"": 70, ""1"": 251, ""2"": 114, ""3"": 202, ""4"": 233, ""5"": 154}",1.714418,1,0.245117,0.0018702030647546053,0.081298828125,0.09272960000000001,-1.7392187342047691,0.7474997043609619,0.000231824,0.046572618186473846,-0.003524485742673278,0.14609706634655595,,
74752,"{""0"": 69, ""1"": 240, ""2"": 133, ""3"": 179, ""4"": 243, ""5"": 160}",1.723164,4,0.237305,0.0012085705529898405,0.0341796875,0.0926272,-1.7169697135686874,0.6034400463104248,0.000231568,0.042627010494470596,-0.000874068500706926,0.15612630685791373,,
75776,"{""0"": 61, ""1"": 254, ""2"": 116, ""3"": 162, ""4"": 275, ""5"": 156}",1.691977,4,0.268555,0.004226020071655512,0.116943359375,0.0925248,-1.6955578923225403,0.6694676876068115,0.00023131199999999998,0.031819023191928864,-0.0015455425018444657,0.1500386712141335,,
76800,"{""0"": 74, ""1"": 243, ""2"": 108, ""3"": 170, ""4"": 269, ""5"": 160}",1.707765,4,0.262695,0.002548200311139226,0.078857421875,0.09242240000000002,-1.6857528388500214,0.6829425692558289,0.00023105600000000002,0.04765791445970535,-0.001454896293580532,0.1453536320477724,,
77824,"{""0"": 65, ""1"": 267, ""2"": 102, ""3"": 171, ""4"": 275, ""5"": 144}",1.683066,4,0.268555,0.0019061535131186247,0.13134765625,0.09232000000000001,-1.6804196685552597,0.7357801795005798,0.0002308,0.04380051791667938,-0.003746257396414876,0.14953258447349072,,
78848,"{""0"": 64, ""1"": 270, ""2"": 99, ""3"": 164, ""4"": 276, ""5"": 151}",1.679639,4,0.269531,0.0007580269011668861,0.00341796875,0.09221760000000001,-1.6748821660876274,0.7235267162322998,0.000230544,0.033921413123607635,-0.000819747248897329,0.14045835239812732,,
79872,"{""0"": 58, ""1"": 256, ""2"": 86, ""3"": 188, ""4"": 291, ""5"": 145}",1.662761,4,0.28418,0.0012303635012358427,0.01416015625,0.09211520000000001,-1.6697225123643875,0.6223345994949341,0.000230288,0.034303538501262665,-0.0005196077981963754,0.14821876166388392,,
80896,"{""0"": 54, ""1"": 296, ""2"": 94, ""3"": 198, ""4"": 272, ""5"": 110}",1.642674,1,0.289062,0.0016685270238667727,0.032958984375,0.0920128,-1.6552298665046692,0.6234654188156128,0.00023003200000000002,0.06087038666009903,-0.000760145834647119,0.18104773573577404,,
81920,"{""0"": 67, ""1"": 317, ""2"": 68, ""3"": 221, ""4"": 235, ""5"": 116}",1.636915,1,0.30957,0.002622196450829506,0.087646484375,0.0919104,-1.6682070568203926,0.4618421792984009,0.000229776,0.04637560248374939,-0.0023224215547088534,0.16438144445419312,,
82944,"{""0"": 88, ""1"": 292, ""2"": 71, ""3"": 215, ""4"": 254, ""5"": 104}",1.659543,1,0.285156,0.0012642254587262869,0.046630859375,0.091808,-1.6328264623880386,0.6373287439346313,0.00022952,0.0501665435731411,-0.0003750270698219538,0.17502497043460608,,
83968,"{""0"": 51, ""1"": 328, ""2"": 68, ""3"": 228, ""4"": 234, ""5"": 115}",1.61149,1,0.320312,0.002456515561789274,0.09228515625,0.0917056,-1.649540700018406,0.713205099105835,0.000229264,0.04383295401930809,0.0005078089598100632,0.13346624374389648,,
84992,"{""0"": 61, ""1"": 317, ""2"": 72, ""3"": 238, ""4"": 235, ""5"": 101}",1.623088,1,0.30957,0.0014373112935572863,0.078369140625,0.0916032,-1.6492666006088257,0.7086676359176636,0.000229008,0.018853643909096718,-0.0020732010598294437,0.10889813769608736,,
86016,"{""0"": 65, ""1"": 284, ""2"": 61, ""3"": 225, ""4"": 259, ""5"": 130}",1.641406,1,0.277344,0.0025169523432850838,0.0634765625,0.09150080000000001,-1.614704169332981,0.5991884469985962,0.000228752,0.044127240777015686,-0.0016184939304366708,0.14995018299669027,,
